Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836415, Image Name = elps_eye35_2015-06-04_09-27-30-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836378, Image Name = elps_eye35_2015-06-04_09-24-15-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836365, Image Name = elps_eye35_2015-06-04_09-20-15-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836254, Image Name = elps_eye35_2015-06-04_09-26-00-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836250, Image Name = elps_eye35_2015-06-04_09-24-45-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836228, Image Name = elps_eye35_2015-06-04_09-18-35-973.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836073, Image Name = elps_eye35_2015-06-04_09-19-15-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836066, Image Name = elps_eye35_2015-06-04_09-26-45-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836070, Image Name = elps_eye35_2015-06-04_09-27-15-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836062, Image Name = elps_eye35_2015-06-04_09-21-45-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836064, Image Name = elps_eye35_2015-06-04_09-26-30-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836060, Image Name = elps_eye35_2015-06-04_09-24-30-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836018, Image Name = elps_eye35_2015-06-04_09-28-00-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836016, Image Name = elps_eye35_2015-06-04_09-25-00-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836013, Image Name = elps_eye35_2015-06-04_09-22-45-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836009, Image Name = elps_eye35_2015-06-04_09-25-15-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835923, Image Name = elps_eye35_2015-06-04_09-29-00-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835905, Image Name = elps_eye35_2015-06-04_09-26-15-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835865, Image Name = elps_eye35_2015-06-04_09-22-15-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835859, Image Name = elps_eye35_2015-06-04_09-27-00-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835812, Image Name = elps_eye35_2015-06-04_09-30-15-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835807, Image Name = elps_eye35_2015-06-04_09-24-00-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835801, Image Name = elps_eye35_2015-06-04_09-28-30-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835796, Image Name = elps_eye35_2015-06-04_09-28-45-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835787, Image Name = elps_eye35_2015-06-04_09-25-30-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835749, Image Name = elps_eye35_2015-06-04_09-30-45-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835630, Image Name = elps_eye35_2015-06-04_09-23-30-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835585, Image Name = elps_eye35_2015-06-04_09-27-45-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835444, Image Name = elps_eye35_2015-06-04_09-30-30-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835343, Image Name = elps_eye35_2015-06-04_09-29-15-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835342, Image Name = elps_eye35_2015-06-04_09-31-00-008.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835310, Image Name = elps_eye35_2015-06-04_09-30-00-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835157, Image Name = elps_eye35_2015-06-04_09-29-30-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835082, Image Name = elps_eye35_2015-06-04_09-28-15-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 835006, Image Name = elps_eye35_2015-06-04_09-29-45-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826755, Image Name = elps_eye34_2015-06-04_08-42-00-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826734, Image Name = elps_eye34_2015-06-04_08-38-00-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826726, Image Name = elps_eye34_2015-06-04_08-43-15-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826704, Image Name = elps_eye34_2015-06-04_08-40-45-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826703, Image Name = elps_eye34_2015-06-04_08-41-45-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826692, Image Name = elps_eye34_2015-06-04_08-38-45-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826588, Image Name = elps_eye34_2015-06-04_08-42-45-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826574, Image Name = elps_eye34_2015-06-04_08-40-00-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826569, Image Name = elps_eye34_2015-06-04_08-41-30-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826556, Image Name = elps_eye34_2015-06-04_08-40-15-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826555, Image Name = elps_eye34_2015-06-04_08-43-45-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826517, Image Name = elps_eye34_2015-06-04_08-41-00-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826506, Image Name = elps_eye34_2015-06-04_08-37-30-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826474, Image Name = elps_eye34_2015-06-04_08-39-00-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826460, Image Name = elps_eye34_2015-06-04_08-44-00-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826390, Image Name = elps_eye34_2015-06-04_08-41-15-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826374, Image Name = elps_eye34_2015-06-04_08-42-15-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826327, Image Name = elps_eye34_2015-06-04_08-43-30-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826320, Image Name = elps_eye34_2015-06-04_08-39-15-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826318, Image Name = elps_eye34_2015-06-04_08-45-30-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826308, Image Name = elps_eye34_2015-06-04_08-45-00-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826296, Image Name = elps_eye34_2015-06-04_08-37-45-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826294, Image Name = elps_eye34_2015-06-04_08-43-00-006.png, Width = 320, Height = 240
